species,Latitude,Mass
Balaenoptera musculus,5.834932,154321304.5
Balaenoptera musculus,5.758852,154321304.5
Balaenoptera musculus,26.003267,154321304.5
Balaenoptera musculus,33.553986,154321304.5
Balaenoptera musculus,33.552648,154321304.5
Balaenoptera musculus,32.626416999999996,154321304.5
Balaenoptera musculus,34.06716,154321304.5
Balaenoptera musculus,34.040329,154321304.5
Balaenoptera musculus,33.459924,154321304.5
Balaenoptera musculus,79.110934,154321304.5
Balaenoptera musculus,36.648721,154321304.5
Balaenoptera musculus,37.429721,154321304.5
Balaenoptera musculus,33.442296,154321304.5
Balaenoptera musculus,78.350285,154321304.5
Balaenoptera musculus,79.017851,154321304.5
Balaenoptera musculus,36.711603,154321304.5
Balaenoptera musculus,78.231625,154321304.5
Balaenoptera musculus,79.524243,154321304.5
Balaenoptera musculus,36.506336,154321304.5
Balaenoptera musculus,37.421131,154321304.5
Balaenoptera musculus,33.320504,154321304.5
Balaenoptera musculus,36.691539,154321304.5
Balaenoptera musculus,32.384111,154321304.5
Balaenoptera musculus,37.295817,154321304.5
Balaenoptera musculus,32.379681,154321304.5
Balaenoptera musculus,37.474276,154321304.5
Balaenoptera musculus,37.591537,154321304.5
Balaenoptera musculus,36.707286,154321304.5
Balaenoptera musculus,32.893457,154321304.5
Balaenoptera musculus,36.903682,154321304.5
Balaenoptera musculus,37.426831,154321304.5
Balaenoptera musculus,36.714553,154321304.5
Balaenoptera musculus,36.69863,154321304.5
Balaenoptera musculus,36.600763,154321304.5
Balaenoptera musculus,36.605004,154321304.5
Balaenoptera musculus,36.661301,154321304.5
Balaenoptera musculus,5.842484,154321304.5
Balaenoptera musculus,-40.088772,154321304.5
Balaenoptera musculus,25.846171,154321304.5
Balaenoptera musculus,25.659749,154321304.5
Balaenoptera musculus,-52.439925,154321304.5
Balaenoptera musculus,-32.159917,154321304.5
Balaenoptera musculus,-32.094739,154321304.5
Balaenoptera musculus,-32.091144,154321304.5
Balaenoptera musculus,NA,154321304.5
Balaenoptera musculus,36.850836,154321304.5
Balaenoptera musculus,-38.2626,154321304.5
Balaenoptera musculus,-38.2626,154321304.5
Balaenoptera musculus,34.071354,154321304.5
Balaenoptera musculus,33.585511,154321304.5
Balaenoptera musculus,32.663135,154321304.5
Balaenoptera musculus,78.443651,154321304.5
Balaenoptera musculus,78.443651,154321304.5
Balaenoptera musculus,78.174698,154321304.5
Balaenoptera musculus,78.39045,154321304.5
Balaenoptera musculus,78.443651,154321304.5
Balaenoptera musculus,38.0134,154321304.5
Balaenoptera musculus,78.247453,154321304.5
Balaenoptera musculus,36.601825,154321304.5
Balaenoptera musculus,37.737905,154321304.5
Balaenoptera musculus,32.611825,154321304.5
Balaenoptera musculus,33.022662,154321304.5
Balaenoptera musculus,36.614216,154321304.5
Balaenoptera musculus,32.671488,154321304.5
Balaenoptera musculus,37.728639,154321304.5
Balaenoptera musculus,48.15377,154321304.5
Balaenoptera musculus,34.10907,154321304.5
Balaenoptera musculus,38.339391,154321304.5
Balaenoptera musculus,38.312747,154321304.5
Balaenoptera musculus,80.619353,154321304.5
Balaenoptera musculus,79.786363,154321304.5
Balaenoptera musculus,36.789368,154321304.5
Balaenoptera musculus,-36.222813,154321304.5
Balaenoptera musculus,NA,154321304.5
Balaenoptera musculus,33.233964,154321304.5
Balaenoptera musculus,33.353839,154321304.5
Balaenoptera musculus,-39.972027,154321304.5
Balaenoptera musculus,38.118687,154321304.5
Balaenoptera musculus,NA,154321304.5
Balaenoptera musculus,-29.060036,154321304.5
Balaenoptera musculus,5.956616,154321304.5
Balaenoptera musculus,-29.18915,154321304.5
Balaenoptera musculus,25.8519,154321304.5
Balaenoptera musculus,38.164242,154321304.5
Balaenoptera musculus,-42.515832,154321304.5
Balaenoptera musculus,34.13286,154321304.5
Balaenoptera musculus,34.099664,154321304.5
Balaenoptera musculus,34.155552,154321304.5
Balaenoptera musculus,37.911506,154321304.5
Balaenoptera musculus,37.834211,154321304.5
Balaenoptera musculus,37.89978,154321304.5
Balaenoptera musculus,34.030029999999996,154321304.5
Balaenoptera musculus,36.96099,154321304.5
Balaenoptera musculus,36.948469,154321304.5
Balaenoptera musculus,78.327169,154321304.5
Balaenoptera musculus,36.741018,154321304.5
Balaenoptera musculus,0.997223,154321304.5
Balaenoptera musculus,36.91843,154321304.5
Balaenoptera musculus,36.987991,154321304.5
Balaenoptera musculus,36.938847,154321304.5
Balaenoptera musculus,80.242288,154321304.5
Balaenoptera musculus,36.760035,154321304.5
Balaenoptera musculus,37.756154,154321304.5
Balaenoptera musculus,37.442721,154321304.5
Balaenoptera musculus,37.60716,154321304.5
Balaenoptera musculus,48.004049,154321304.5
Balaenoptera musculus,37.75135,154321304.5
Balaenoptera musculus,80.008591,154321304.5
Balaenoptera musculus,36.669597,154321304.5
Balaenoptera musculus,37.415756,154321304.5
Balaenoptera musculus,36.85416,154321304.5
Balaenoptera musculus,36.856891,154321304.5
Balaenoptera musculus,36.800164,154321304.5
Balaenoptera musculus,36.683152,154321304.5
Balaenoptera musculus,36.744797,154321304.5
Balaenoptera musculus,36.760583,154321304.5
Balaenoptera musculus,36.940951,154321304.5
Balaenoptera musculus,37.494658,154321304.5
Balaenoptera musculus,78.247503,154321304.5
Balaenoptera musculus,-40.089218,154321304.5
Balaenoptera musculus,37.209701,154321304.5
Balaenoptera musculus,36.645096,154321304.5
Balaenoptera musculus,37.706974,154321304.5
Balaenoptera musculus,37.673968,154321304.5
Balaenoptera musculus,37.684609,154321304.5
Balaenoptera musculus,34.036479,154321304.5
Balaenoptera musculus,-8.479305,154321304.5
Balaenoptera musculus,36.949087,154321304.5
Balaenoptera musculus,36.996378,154321304.5
Balaenoptera musculus,36.861103,154321304.5
